Memory in node 1: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 
test: medium_latency_0
timing: 13124457
timing: 11874541
timing: 14374276
timing: 12499602
timing: 11249240
timing: 10624293
timing: 13749582
timing: 13124388
timing: 11249717
timing: 11874448
timing: 13124354
timing: 11249641
timing: 13749333
timing: 8121913
timing: 9374528
timing: 13749378
timing: 9999250
timing: 16874674
timing: 11874366
timing: 9999511
timing: 11249194
timing: 13124840
timing: 8124170
timing: 9999432
timing: 8749381
timing: 11249498
timing: 11874487
timing: 10624631
timing: 11874211
timing: 17499437
timing: 11249450
timing: 12499408
timing: 12499484
timing: 12499540
timing: 11249560
timing: 18124136
timing: 14999389
timing: 12499575
timing: 11249486
timing: 8749422
timing: 11249456
timing: 10624450
timing: 10624723
timing: 9999432
timing: 11249225
timing: 13749417
timing: 11249552
timing: 7499553
timing: 11874139
timing: 9374468
timing: 9999411
timing: 12499523
timing: 11249422
timing: 11249299
timing: 12499777
timing: 10624285
timing: 11247037
timing: 11874385
timing: 14374327
timing: 8749503
timing: 11249257
timing: 13124670
timing: 15090939
timing: 7407836
timing: 9374477
timing: 11874590
timing: 12499347
timing: 14999497
timing: 10624428
timing: 16874389
timing: 11249534
timing: 15624430
timing: 9999344
timing: 11249337
timing: 9999600
timing: 11874311
timing: 11874841
timing: 11249188
timing: 11874373
timing: 12499439
timing: 11249449
timing: 10624332
timing: 11247121
timing: 13749482
timing: 9999450
timing: 10622021
timing: 15624483
timing: 14999364
timing: 13124578
timing: 12499243
timing: 15624626
timing: 12499185
timing: 13749676
timing: 16874383
timing: 11249505
timing: 9999397
timing: 11874331
timing: 13124542
timing: 11249263
timing: 11249356
timing: 10624729
timing: 10624414
timing: 9999340
timing: 7499412
timing: 11249517
timing: 10624475
timing: 9374350
timing: 13749608
timing: 11249344
timing: 11249452
timing: 13124453
timing: 11249355
timing: 14999516
timing: 13124451
timing: 11874429
timing: 11874613
timing: 10624590
timing: 11874148
timing: 13749388
timing: 9999450
timing: 12499455
timing: 9374529
timing: 11874371
timing: 15624401
timing: 11249551
timing: 9999324
timing: 12499411
timing: 12499544
timing: 12499541
timing: 12499256
timing: 13124435
timing: 11249604
timing: 11874520
timing: 11249113
timing: 14999550
timing: 11874446
timing: 12499465
timing: 13124616
timing: 11874372
timing: 13124410
timing: 9999420
timing: 11874785
timing: 14373978
timing: 10624693
timing: 14374358
timing: 9999410
timing: 10624452
timing: 11874380
timing: 8749527
timing: 13124425
timing: 8749468
timing: 13124416
timing: 12499265
timing: 11249606
timing: 13749555
timing: 9374427
timing: 10388074
timing: 10858035
timing: 10624617
timing: 13122049
timing: 8747199
timing: 13121538
timing: 11246986
timing: 11872011
timing: 12499473
timing: 13747002
timing: 11871817
timing: 11874405
timing: 9999911
timing: 13749083
timing: 11874543
timing: 12499333
timing: 14374635
timing: 9374363
timing: 10624462
timing: 12499466
timing: 11249104
timing: 11249599
timing: 13124293
timing: 9999597
timing: 9999439
timing: 11249980
timing: 14998833
timing: 9998997
timing: 14374697
timing: 13124497
timing: 8749167
timing: 9374438
timing: 11874497
timing: 10624195
timing: 9374626
timing: 12499244
timing: 8749732
timing: 12499169
timing: 10624618
timing: 8749338
timing: 11249540
timing: 13124478
timing: 9999426
timing: 11249523
timing: 13124393
timing: 16874451
timing: 9999366
timing: 11874376
timing: 13124580
timing: 14374778
timing: 11249260
timing: 14374448
timing: 8749358
timing: 18124391
timing: 10624321
timing: 16249577
timing: 9999262
timing: 10624803
timing: 13121885
timing: 8749404
timing: 6912330
timing: 8711495
timing: 11249486
timing: 13749388
timing: 11249506
timing: 11249325
timing: 16874436
timing: 10624638
timing: 8124382
timing: 9374437
timing: 15624454
timing: 13749475
timing: 11874342
timing: 10624519
timing: 12499391
timing: 14374487
timing: 12499322
timing: 11874407
timing: 11874313
timing: 10624622
timing: 15624308
timing: 10624343
timing: 9999733
timing: 11874337
timing: 9374428
timing: 18124336
timing: 7499284
timing: 9374476
timing: 11874757
timing: 15624379
timing: 13121720
timing: 11874702
timing: 6874363
timing: 10624338
timing: 8749600
timing: 10624443
timing: 13124390
timing: 13124561
timing: 10624405
timing: 11874193
timing: 13124587
timing: 12499877
timing: 11251494
timing: 15621936
timing: 12499557
timing: 12499392
timing: 12499430
timing: 11874453
timing: 13124369
timing: 14374394
timing: 10624390
timing: 8749600
timing: 14374202
timing: 11874530
timing: 12499584
timing: 11874447
timing: 13124436
timing: 14999549
timing: 13124343
timing: 13749454
timing: 13124484
